epoch_idx	Accuracy	F1-score	Confusion_matrix
39	0.2904761904761905	0.1423617769255353	"[[120   0   0   0  90   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
40	0.2904761904761905	0.1423617769255353	"[[120   0   0   0  90   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
41	0.2904761904761905	0.1423617769255353	"[[120   0   0   0  90   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
42	0.2904761904761905	0.1419717589930356	"[[120   0   0   0  90   0]
 [ 96   0   0   0  54   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
43	0.2904761904761905	0.1419717589930356	"[[120   0   0   0  90   0]
 [ 96   0   0   0  54   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
44	0.2904761904761905	0.1419717589930356	"[[120   0   0   0  90   0]
 [ 96   0   0   0  54   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
45	0.2904761904761905	0.1419717589930356	"[[120   0   0   0  90   0]
 [ 96   0   0   0  54   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
46	0.2904761904761905	0.14159560537830154	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
47	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
48	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
